Genes,Cell11,Cell12,Cell13,Cell14,Cell15,Cell16,Cell17,Cell18,Cell19,Cell20
Gene01,1,9,0,0,9,3,4,0,0,4
Gene02,7,9,3,4,6,1,5,6,2,1
Gene03,4,4,6,3,10,0,6,4,7,6
Gene04,2,1,1,3,5,9,0,8,1,6
Gene05,8,6,9,7,6,3,9,6,6,6
Gene06,8,9,1,0,3,1,3,4,7,6
Gene07,7,0,0,9,8,8,4,10,10,8
Gene08,1,7,9,8,7,1,3,1,8,7
Gene09,7,9,1,3,10,8,10,3,10,10
Gene10,7,4,4,5,0,8,9,2,5,1
Gene11,2,5,1,7,5,9,1,10,2,10
Gene12,3,1,7,2,6,5,9,8,9,4
Gene13,7,8,5,7,7,7,5,0,0,8
Gene14,2,10,2,7,10,7,3,10,6,1
Gene15,3,7,7,7,5,3,6,3,5,1
